Well_ID,Name,Well,Read_490,Blank_Read_490,Read_680,Blank_Read_680
BLK,Media,B2,0.165,-0.006,0.044,0.002
BLK,Meida,C2,0.173,0.003,0.042,0
BLK,Media,D2,0.178,0.007,0.039,-0.003
BLK,Media,F2,0.174,0.004,0.045,0.003
BLK,Media,G2,0.166,-0.005,0.041,-0.001
BLK,Media,H2,0.167,-0.004,0.042,0
CTL2,Positive,B11,1.022,0.852,0.071,0.029
CTL2,Positive,C11,0.107,-0.064,0.044,0.002
CTL2,Positive,D11,0.955,0.785,0.272,0.23
SPL1,BF Media,B3,0.173,0.003,0.04,-0.002
SPL1,BF Media,C3,0.162,-0.009,0.038,-0.004
SPL1,BF Media,D3,0.183,0.012,0.039,-0.003
SPL2,Control 1,B5,0.3,0.129,0.04,-0.002
SPL2,Control 1,C5,0.3,0.129,0.043,0.001
SPL2,Control 1,D5,0.336,0.166,0.041,-0.001
SPL3,Control 2,B6,0.338,0.168,0.043,0.001
SPL3,Control 2,C6,0.467,0.296,0.045,0.003
SPL3,Control 2,D6,0.453,0.282,0.045,0.003
SPL4,BF 1,B8,0.502,0.332,0.044,0.002
SPL4,BF 1,C8,0.479,0.309,0.043,0.001
SPL4,BF 1,D8,0.522,0.352,0.043,0.001
SPL5,BF 2,B9,0.419,0.248,0.045,0.003
SPL5,BF 2,C9,0.391,0.221,0.041,-0.001
SPL5,BF 2,D9,0.366,0.195,0.041,-0.001
SPL6,BF Media,F3,0.175,0.005,0.04,-0.002
SPL6,BF Media,G3,0.173,0.003,0.039,-0.003
SPL6,BF Media,H3,0.172,0.002,0.043,0.001
SPL7,Control 1,F5,0.252,0.081,0.042,0
SPL7,Control 1,G5,0.236,0.066,0.046,0.004
SPL7,Control 1,H5,0.29,0.119,0.046,0.004
SPL8,Control 2,F6,0.467,0.296,0.043,0.001
SPL8,Control 2,G6,0.344,0.174,0.044,0.002
SPL8,Control 2,H6,0.475,0.304,0.046,0.004
SPL9,BF 1,F8,0.382,0.211,0.046,0.004
SPL9,BF 1,G8,0.43,0.259,0.048,0.006
SPL9,BF 1,H8,0.454,0.283,0.048,0.006
SPL10,BF 2,F9,0.385,0.215,0.044,0.002
SPL10,BF 2,G9,0.411,0.241,0.044,0.002
SPL10,BF 2,H9,0.506,0.336,0.048,0.006
SPLC1,Water,B1,0.049,-0.122,0.042,0
SPLC1,Water,C1,0.045,-0.126,0.043,0.001
SPLC1,Water,D1,0.044,-0.127,0.039,-0.003
SPLC2,Water,F1,0.043,-0.128,0.039,-0.003
SPLC2,Water,G1,0.042,-0.129,0.038,-0.004
SPLC2,Water,H1,0.047,-0.124,0.04,-0.002
